id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2019-970798,2019-01-02,000001,Vente,406200,19,,RUE D ISSY,4660,92100,92012,Boulogne-Billancourt,92,,,92012000BG0024,,,104,48.7,,,,,,,,,1,2,Appartement,51,3,,,,,,2.243872,48.829252
2019-970799,2019-01-03,000001,Vente,26000,80,,RUE DE PARIS,7130,92100,92012,Boulogne-Billancourt,92,,,920120000O0193,,,295,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.242612,48.840775
2019-970800,2019-01-03,000001,Vente,495000,75,B,RUE DE PARIS,7130,92100,92012,Boulogne-Billancourt,92,,,920120000O0163,,,102,,132,,300,,,,,,3,2,Appartement,62,4,,,,,,2.241303,48.840722
2019-970801,2019-01-03,000001,Vente,1192285,19,,RUE DE L ANCIENNE MAIRIE,0120,92100,92012,Boulogne-Billancourt,92,,,92012000AB0108,,,84,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.234659,48.838456
2019-970801,2019-01-03,000001,Vente,1192285,19,,RUE DE L ANCIENNE MAIRIE,0120,92100,92012,Boulogne-Billancourt,92,,,92012000AB0108,,,18,95.01,50,,84,,,,,,3,2,Appartement,95,4,,,,,,2.234659,48.838456
2019-970801,2019-01-03,000001,Vente,1192285,19,,RUE DE L ANCIENNE MAIRIE,0120,92100,92012,Boulogne-Billancourt,92,,,92012000AB0108,,,61,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.234659,48.838456
2019-970802,2019-01-10,000001,Vente,386000,104,,RUE DU CHATEAU,1425,92100,92012,Boulogne-Billancourt,92,,,920120000P0165,,,11,46.5,62,,,,,,,,2,2,Appartement,47,2,,,,,,2.241347,48.842794
2019-970804,2019-01-02,000001,Vente,250000,33,,RUE D'AGUESSEAU,0050,92100,92012,Boulogne-Billancourt,92,,,920120000L0055,,,31,32.78,9,,,,,,,,2,2,Appartement,32,3,,,,,,2.236725,48.843624
2019-970806,2019-01-04,000001,Vente,718000,38,,RUE DE LA ROCHEFOUCAULD,5110,92100,92012,Boulogne-Billancourt,92,,,920120000R0161,,,54,78.2,83,,,,,,,,2,2,Appartement,76,3,,,,,,2.242756,48.84561
2019-970826,2019-01-11,000001,Vente,545000,72,B,RTE DE LA REINE,8111,92100,92012,Boulogne-Billancourt,92,,,920120000O0099,,,10,,9,67.56,,,,,,,2,2,Appartement,63,3,,,,,,2.241501,48.839787
